Rule Name,External IP,Internal IP,WAN interface,Protocol (UDP/TCP),External Port,Internal Port,Group Name,Fortivoice VIP Group
Fortivoice Fax UDP 4500,0.0.0.0,192.168.1.25,wan,udp,4500,4500,,
Fortivoice Fax UDP 5000,0.0.0.0,192.168.1.25,wan,udp,5000,5000,,
Fortivoice RTP TCP 10k-30k,0.0.0.0,192.168.1.25,wan,tcp,10000-30000,10000-30000,,
Fortivoice RTP UDP 10k-30k,0.0.0.0,192.168.1.25,wan,udp,10000-30000,10000-30000,,
Fortivoice SIP TCP 51600,0.0.0.0,192.168.1.25,wan,tcp,51600,5060,,
Fortivoice SIP UDP 51600,0.0.0.0,192.168.1.25,wan,udp,51600,5060,,
Fortivoice TFTP UDP 69,0.0.0.0,192.168.1.25,wan,udp,69,69,,
Fortivoice Web Access TCP 443,0.0.0.0,192.168.1.25,wan,tcp,443,443,,
Fortivoice WSS TCP 8089,0.0.0.0,192.168.1.25,wan,tcp,8089,8089,,
Fortivoice SSH TCP 2222,0.0.0.0,192.168.1.25,wan,tcp,2222,2222,,
Fortivoice Volli SIP Reg TCP 5060-5061,0.0.0.0,192.168.1.25,wan,tcp,5060-5061,5060-5061,,
Fortivoice Volli SIP Reg UDP 5060-5061,0.0.0.0,192.168.1.25,wan,udp,5060-5061,5060-5061,,
Fortigate Webadmin TCP 4443,0.0.0.0,10.10.10.254,wan,tcp,4443,4443,,
Fortigate SSH TCP 22,0.0.0.0,10.10.10.254,wan,tcp,22,22,,
Fortigate SNMP UDP 161,0.0.0.0,10.10.10.254,wan,udp,161,161,,
Fortigate SNMP UDP 162,0.0.0.0,10.10.10.254,wan,udp,162,162,,
